artist_candidate_id	candidate_artist_type	confidence	evidence_text	raw_artist_text	release_candidate_id	release_title	review_status	source_id	source_name	source_reference	source_url
SRC0002-B0004-ART001	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Mejores Canciones de Música Colombiana del Siglo': Varios Intérpretes	Varios Intérpretes	SRC0002-B0004-REL001	Colección 100 Mejores Canciones de Música Colombiana del Siglo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/
SRC0002-B0004-ART002	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos del Siglo | Helenita Vargas': Helenita Vargas	Helenita Vargas	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-ART003	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Guillermo Portabales	Guillermo Portabales	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART004	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': La Sonora Matancera	La Sonora Matancera	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART005	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Orquesta de Bebo Valdés	Orquesta de Bebo Valdés	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART006	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Celina y Reutilio	Celina y Reutilio	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART007	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Fruko y Orquesta	Fruko y Orquesta	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART008	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Los Compadres	Los Compadres	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART009	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Roberto Ledesma	Roberto Ledesma	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-ART010	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Éxitos de Música Cubana': Trío Matamoros	Trío Matamoros	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
